,username,biography,userid,mediacount,followers,followees,is_verified
790,davearonberg,"Doing justice for the 561 as State Attorney since 2013.  Hound whisperer, amateur guitarist, mediocre golfer, long-suffering Miami sports fan.",259240404,1121,5262,3463,True
791,secretaryperry,Texan|Air Force|Governor|Former Secretary of Energy,4312194227,1046,32199,78,True
792,allenfrances.27,@thv,56797801791,43,264,402,False
793,kencuccinelli,Attorney General for the Commonwealth of VA & GOP Nominee for Governor. Account run by Cuccinelli for Governor staff. #standwithken #vagov,366782504,100,1236,1136,False
794,ivankatrump,,23600655,3983,7561827,1706,True
795,realpnavarro,"Assistant to the President, Dir. of Trade/Manufacturing Policy during Trump administration
American economist, author @InTrumpTime
Order now ⬇️",45843954535,80,11510,284,False
796,mcuban,Entrepreneur. Twitter:mcuban snap:mcuban TikTok mcuban,229583802,632,2070887,750,True
797,adam_kinzinger,U.S. Congressman and military pilot.  Married to @sofiakinzinger 🔥🔥.  Purveyer of Country First. My book RENEGADE arrives 10/31. Preorder 👇👇,2006723713,538,49001,596,True
798,rob__schmitt,🇺🇸 🇺🇸🇺🇸,238158378,944,37917,993,True
799,nicollewallace,,2164891948,333,124377,452,False
800,ca_gop,"The official account of the California Republican Party
🇺🇸 🐘
⬇️ Link in bio ⬇️",1701150482,2251,18539,481,True
801,stephruhle,"Host of 11th Hour on @MSNBC 11PM M-F,
@nbcnews Senior Business Analyst, dance machine, practical joke enthusiast, real friend.",189930770,6368,219569,2643,True
802,reptusler,"Official Instagram Account of State Rep. Ron Tusler. Representing the 3rd Assembly District, eastern Outagamie and northern & western Calumet Counties",60044356505,0,1,0,False
803,chelseahandler,#LittleBigBitchTour on sale now | Listen to Dear Chelsea Season 4 | Revolution is streaming now on @netflix,6897275,3668,5110111,1576,True
804,realbencarson,The Official Instagram Page of Dr. Ben & Candy Carson.,1359613841,868,517592,86,True
805,mariannewilliamson,Candidate for the Democratic nomination for President of the United States.,294661672,3501,733011,252,True
806,becca.holcombe,ru ‘24 | ΑΣΤ,4482879537,50,1234,765,False
807,rolandsmartin,"https://linktr.ee/rolandsmartin  Roland S. Martin
Host/Managing Editor, #RolandMartinUnfiltered, RolandMartinUnfiltered.com.",39380419,18181,687413,1994,True
808,dni_ratcliffe,The nation’s top intelligence official as the 6th Director of National Intelligence of the United States. Former Member of Congress and U.S. Attorney.,1679501092,126,24440,331,True
809,billy_stanley,33,199374110,529,491,582,False
810,donna_shalala,"Former Prez Hunter College Former Chancellor@UnivWisc-madison Former Prez of @Univmiami 🙌🏼, Sec. of @HHSgov, & @PeaceCorps volunteer",7268463182,201,2062,175,False
811,taxreformer,"Advocating for lower taxes, a simpler tax code, and limited government since 1985. Sponsors of the Taxpayer Protection Pledge",13137831953,90,875,308,False
812,donna_campbell,,188055058,1,5,0,False
813,westonpagano,"Music licensing, @marmosetmusic | 2006 TIME Person of the Year, Juventino, tall person, ”not a political figure” - PolitiFact",299489050,544,1078,1067,False
814,jonflan38,@jonflanaganelitecamps,297580500,233,222307,1947,True
815,hastings_kelly,,3156332098,142,1086,293,False
816,jess___mc,"Democratic strategist, person to Bud Lucky🍀. Tweets @jess_mc",230054102,2343,2612,1210,False
817,ta_nehisi_coates_,#fighter,16393366106,15,2674,2,False
818,itskevingraham,"📍San Diego
Social @c4energy",26158796,243,2439,2478,False
819,mike_fromcanmore,"My life as a campground attendant. 
@campmoosetrail",1597684958,385,28850,862,False
820,billdeblasio,Former Mayor of New York City. Proud Brooklynite. Fighting for working people and our democracy.,13716505077,129,19357,23,True
821,charlesvpayne,If you have any money in the stock market there’s a 95% chance you’re going about it all wrong! I'll teach you a more profitable way to invest.,13110028898,61,26641,11,False
822,repmoulton,"Veteran, husband, and father proudly serving the people of Massachusetts’ Sixth District #MA06.",2006199116,641,8512,968,True
823,jimdurkinnj,,1384331023,22,107,42,False
824,ray__cross,,2271361193,119,222,278,False
825,jimmykimmel,,271899021,918,2863028,1324,True
826,conservative__daily,"🇺🇸 Your one stop shop for all things conservative 
🚔 Serving time in Instagram’s penitentiary
⤵️ Backup Account",4511132163,2612,21036,5825,False
827,jimmya9,Management - @mcsaatchimerlin,185337498,404,947138,488,True
828,taylorswift,"I’m the problem, it’s me",11830955,618,276878756,0,True
829,_garlandoutdoors_,"|| God, Family, Friends & The Great Outdoors ||  
|| Get What you Give || 
||  Hawkinsville , GA ||
||  Joshua  1 : 9  ||
|| sc:tgarland7 ||",315180600,325,2311,1536,False
830,kriscollins,"🇨🇦
Daily Subpar Comedy Content
TikTok: Kallmekris ( 50 million )
YouTube: Kallmekris ( 10 million )
Other Socials & Biz⬇️",194111427,510,3225715,1467,True
831,johnhickenlooper,"Fmr geologist, brewer, mayor, & governor. Occasional banjo player. Ready to bring change to Washington & get things done for Colorado!",1348453053,900,26750,153,True
832,justinamash,I took these pics.,334104130,177,3224,943,True
833,heidi_scheuermann,"State Representative, Vermont House of Representatives",3637356480,347,1019,1171,False
834,politicswd,Official account for Politics Watchdog.,19366348710,159,65,4,False
835,repmarciafudge,,1395168201,988,41680,3037,False
836,scott.neitzel,"oswego
@jack.gricus",3163437624,0,1252,230,False
837,governorbullock,Husband. Father of three. Runner. Montana's 24th Governor.,489795302,795,14470,209,True
838,waynemessam,"Mayor of Miramar, FL Owner Messam Construction Father | Husband | Former Candidate President of the USA | FSU Natl 🏉 champ | AΦA | 🇺🇸 by way of 🇯🇲",178240887,2450,9959,2493,True
839,bobbiethomas,"Professional Girlfriend at your service 
💄Style Editor, NBC TODAY show
📖Author, The Power of Style 
👩🏻‍💻Contact@bobbie.com
Link in Bio below:",41355200,1068,159794,1187,True
840,tracymccreery,Missouri State Senator | a community volunteer trying to make our world a better place,455607597,666,939,391,False
841,scaramucci,"📈 Founder & Managing Partner, SkyBridge
🧂 Founder, @SALT
🎤 Host, Open Book podcast",4078570764,45,21721,45,True
842,ericswalwell,Dad to Nelson/Cricket/Hank |  Husband | California Congressman | Text Me (510) 973-4111 |#dubnation | ⚽️🎾🏌️‍♂️| 🇺🇸🇺🇦,190221292,1032,90336,1263,True
843,kellycassdy,,5568757710,2385,852,1820,False
844,patriciaverapike,,30033939378,44,51,150,False
845,joelgriffith,Photographer • NYC,3288872055,365,2506,1312,False
846,comedic_cody,"ON TOUR NOW!
Business email : hello@thegoldstudios.com
Show booking : codysmithbooking@gmail.com 
TICKETS BELOW!",2993384,538,328724,988,True
847,themanilatimes,News | Opinion | Philippines | Asia | World,36385615755,14847,6162,155,False
848,markjewell,#thrivetoday #wakeupcorporateamerica,14927595,670,9230,1170,False
849,davidmuntzel,,5341533822,0,6,2,False
850,newyorkstateag,Official Instagram account of New York State Attorney General Letitia James.,937295310,1081,34563,390,True
851,tinnafreitas,"@ofc_campos244 💍❤️
 @mariacecilia.c.f ❤️💎",1824616341,22,13765,3256,False
852,bysandylin,"📍Boston | Taipei  
I do a lot of transitions ✨
👾 Co-founder @creobase_ 
sandy@creobase.com 💌",197387465,132,213478,1862,False
853,justicedemocrats,"Justice Democrats is ushering in a new generation of leaders in the Democratic Party who will fight for their voters, not just corporate donors.",4517217520,569,78523,117,True
854,statesenlatonya,"WI State Senator (D - Milwaukee), 6th District | proud advocate for Milwaukee communities.",7158684672,456,1252,201,False
855,safemedicines,"The Partnership for Safe Medicines is working together to protect the safety of your prescription drugs.
https://www.youtube.com/c/SafeMedicines",1491708313,707,153,74,False
856,nschroer,,24131995,102,322,499,False
857,dgriff8,"Dad, writer, teacher",4489019,3499,747,1074,False
858,bowmarbowhunting,"@bowmar_archery
@beast_broadheads 
1.4 MILLION subs on YouTube! 
@apexproteinsnacks",482544778,3436,371466,807,True
859,jaredcoreykushner,Follow along with son-in-law and senior advisor to President Trump. Let's make AMERICA great again!  *This is a fan page* good preacher website!,4515328730,537,21422,75,False
860,craigdavid,It’s a Soul thing 💫🔮 ♉️,197832689,3343,819316,4824,True
861,alexander_heller,"CEO, founder @hyperspace____ 
@ayauniverse____ 
@houseofhype____",300080229,170,12578,4328,False
862,thomasallen6,"📍 CLT
🐶 @2dudesandadoodle 👬 @hankcainallen",1242018461,506,114097,1850,False
863,thinkbigil,An organization committed to fighting for progressive policies and supporting changes to help repair our state.,14278970910,50,200,6,False
864,joyce.krawiec,,19756358953,0,218,463,False
865,teamhowardtx,"TX Rep for D-48. Dem, Texas Ex, former nurse & school board member, mom & grandmom w/ 3 great kids & 7 perfect grandkids! Staff posts=TH",4414670696,679,2235,456,False
866,bestofjohncorbett,"-Everything about John Corbett 
-This is instagram fanpage
-Daily pics, news & latest updated!",3627599302,262,14760,27,False
867,andrewbirdmusic,"“Outside Problems” out now.
On tour this fall.",481909042,1330,137263,239,True
868,dlhoskins,,258592460,39,467,66,False
869,senatorwarner,"Serving Virginia in the U.S. Senate
Chairman, Senate Intel Committee
Dad | Husband | Entrepreneur | 69th Governor of VA",515327940,1552,34418,3601,True
870,howard.schultz,"Transformative leader; Starbucks ceo and board member; co-founder of the Schultz Family Foundation, co-founder of The Emes project.",7889926554,18,57681,47,True
871,rahmemanuel,This is the personal account of Chicago's 55th Mayor and the U.S. Ambassador to Japan. Views shared are personal opinions.,13593372178,31,6082,7,True
872,harrybrownmusic,Pre-save #Fooling 👇🏾🇬🇧,46653399,482,55789,5683,True
873,rachel_siegel,,22071828,180,1161,1196,False
874,clifsmart3,President of Missouri State University.,1464989900,1157,5056,40,False
875,betttencourt,"Photographer n stuff
📧 info@betbettencourt.com",8367975,108,7099,1691,False
876,mirobtv,"Mayor of Burlington, VT",39031159,287,1702,135,False
877,rephalbrook,IL State Representative for the 102nd District,48456747307,12,49,39,False
878,themikeromano,"Creating On Purpose
@sunrunsolar 
@creatrbydesign 
☕️ Coronado, California
Tiktok : @ Mikemindbody",266249633,147,15913,2346,False
879,zitrusfrisch,"// Minimal and architecture – mostly combined
// Wuppertal, Germany",2187338298,466,20264,403,False
880,mitch.carmichael,,4734634537,2,224,824,False
881,samplesjeremiah,,49386351335,15,14,486,False
882,kayekory,"Delegate, 38th District, Virginia House of Delegates",4518818629,35,374,319,False
883,chicagoideas,"The Ideas Platform for Everyone💡
Join us for big ideas and inspiring events, all year long. #ChicagoIdeas 
Learn More:",260446793,3196,20668,879,False
884,bucyfortexas,"Proud Democrat representing HD 136, father, husband, small business leader, and former chair of @wilcodems. Building a Texas as good as it’s promise.",8079967941,482,1344,258,False
885,scottnbeck,"father, husband, brother, son, philanthropist, tech geek, optimist, developer Dallas Midtown, CEO of Beck Ventures @scottnbeck @dallasmidtown",918445571,999,1058,2704,False
886,quentinmiller__,,1208388717,0,57645,2661,True
887,bmoonphotography,"Photographer in Clayton, North Carolina. Originally from MA. photographs are my own.  Prints available",8712738567,2170,6410,1689,False
888,gary_farmer_,"👨‍🌾 HouseMusic Content Creator @playlistdjs
▶️ BTD 🔊 @houselabel_djs 
📈 Social @themarketing_djs 
🎧 #Music #Memes #Marketing
🏴󠁧󠁢󠁳󠁣󠁴󠁿 #Linlithgow",178104122,6243,7594,7494,False
889,bobhall1843,,6416711633,117,1381,164,False
890,tommiepiersonjr,"Communicator 🗣️✍🏾🎙️🎥
🧗🏾‍♀️👏🏾🎯📈Motivator",465805276,96,646,268,False
891,tonipreckwinkle,"The official instagram of Toni Preckwinkle, President of the Cook County Board of Commissioners",7149275137,1014,4640,421,True
892,johncartercash,"Husband • Father • Producer, Author, Artist, Apiarist— johncartercash.com",7467430162,956,34740,2756,True
893,childrenatrisk,Serving as a catalyst for change to improve the quality of life for children in Texas,49919851,858,2052,449,False
894,matthewbirmingham,,796434997,2549,982,2124,False
895,kdowning16_,WAHS 26’|🏀|SG|🏈WR|CB,52673525351,9,330,956,False
896,__hannah__kelly,"God🤍
VALUE WHAT YOU HAVE WHEN YOU HAVE IT✨",7458839789,0,6663,1591,False
897,curls_by_kiki,"•Specializing in All Curls 
•Curl Specialist Level 1 inspired / Art of Texture certified 
Co-owner @thecurlologystudio 🚫 DM’s",2232108512,110,6765,579,False
898,philbergerjr,"Husband and father. 
Associate Justice - Supreme Court of North Carolina. 
Certified “Delightful.”",4021117153,287,1399,691,False
899,zerlinamaxwell,"Radio Host: Mornings with Zerlina on @siriusxm ch. 127 Weekdays 7-9am ET
Contact: zerlina.maxwell@gmail.com
Buy My Book ⬇️",28735188,2327,47696,2626,True
900,repcuellar,Proudly representing the 28th Congressional District of Texas.,380678173,709,4434,68,True
901,representativeterrykatsma,"Republican politician and business man,,,,
Member of Wisconsin house of assembly,,,
Representing sheboygan  county .
Sheboygan, Wisconsin, USA.",52042895430,0,186,283,False
902,maryelizabethcoleman,Standard cringe mom bio.,7357626528,717,757,295,False
903,americalcivilunion,Join us in our quest to stop bullying.,13531443464,6,59,76,False
904,senatorheitkamp,"Archived account of Heidi Heitkamp, former U.S. Senator for #NorthDakota.",1146260729,472,5952,132,True
905,hmorgangriffith,Proudly representing the Ninth District of Virginia.,331330054,566,2481,53,True
906,ed_emery_,,28444661517,12,246,783,False
907,mikelong10,"〽️🐉
@northeastern ‘25",1543247612,3,1602,1581,False
908,davidprice14,Theplayersalliance.com,285758638,705,367567,681,True
909,robertmckinzie,I am a blessed man. I am married to the most beautiful woman in the world and I have the most amazing kids and family.,507254238,352,579,527,False
910,official_chefjasonsmith,"FNS s13 winner , HBC s3 winner & Cookbook Author. Country Bling Merch shipped Nation Wide
Twitter @Mrcountrybling baconbutterbourbon@yahoo.com",3403038185,1050,56547,2094,True
911,chriscoyne__,"▪️Travel / Lifestyle / Business 
▪️Travelled 25% Of The World 🌍
▪️All Views Are My Own",43291192136,258,3209,616,False
912,darren_mcgrady,"Former chef to The Queen, Princess Diana,  Princes William and Harry.  Owner of Eating Royally Catering.",1772881629,1508,27238,264,False
913,jacobwohl_official,"This is a parody account ONLY with NO intent of impersonation! @instagram deleted my account @jacobwohl.official w/o allowing an appeal 
❤🧡💛💚💙💜",17873437816,83,164,49,False
914,pmorrisey,"Mortgage Loan Originator 
AFC is licensed in CT, NY, NJ, MA, FL, SC, VT & NH
St. Joseph High School & Iona College
NMLS #2070259",38844431,134,1642,1650,False
915,michaelfmoore,Filmmaker. Writer. Citizen. Podcaster. My podcast “Rumble with Michael Moore” is on Spotify & Apple. Sign up for my newsletter at MichaelMoore.com,779809478,1613,952019,82,True
916,kathykltran,Mom of 5. Delegate for Virginia's 42nd House District. Fighting for a welcoming & inclusive Commonwealth where all thrive.,11937578688,1126,1322,108,False
917,adam.smith,"Owner of @accidentalchaos Comedy club
part-time comedian 🎤
part-time 🇺🇸Next🔝Model…
full-time bro 🤙🍻",13719206,867,80816,2318,False
918,j.oliva77,,3436525124,267,578,1360,False
919,woodhousedallas,"✨ Award-winning Luxury Spa
🏆 Best of DFW 2022 @dallasnews
📍@mockingbirdsta #WoodhouseDallas",39525704548,821,5195,545,False
920,wisconsin_firearms_coalition,"Wisconsin's only NO COMPROMISE gun rights organization!
Join the fight through our linktree 👇",48213463550,103,54,28,False
921,efillercorn,,5776305132,31,1446,209,False
922,garry4chicago,"Chicago needs new leadership and a new direction – to combat crime, strengthen our schools, rein in the budget, and make our city a hub for innovation",6995906084,129,570,0,False
923,senatormariacantwell,Official account of U.S. Senator Maria Cantwell 🇺🇸        (D-WA) | Proud to represent the people of Washington state ⛰ | Twitter👉🏼 @SenatorCantwell,6640479479,689,9005,660,True
924,rothschild.family,,3606516983,51,6590,117,False
925,lastlineofdefense,"Gear + Good times
I mostly make videos on YouTube
👇🏽YouTube, coupons, info, gear",30588319,998,153490,335,False
926,cwoolery,,9125243291,335,176,425,False
927,assemblywomanpatfahy,"NYS Assemblymember (D) 109th District📍#Albany, #Guilderland, #NewScotland. Chair, Higher Education Cmte. 🎓 Leader on environment, education, + jobs.",9632485147,619,1536,453,False
928,jim.ott_,"Sportler/in
Freeride/slopestyle 14y 
Pfullingen Germany 🇩🇪
Sponsoren: @looseriders, @vpacebikes,@vpacekids",39629941732,109,1450,482,False
929,deldhss,The official Instagram for the Delaware Department of Health and Social Services.,225590609,2857,4999,346,True
930,nitalowey,Former Congresswoman from New York.,1397825885,242,3179,128,True
931,jerryfalwelljr,Lawyer/Commercial Real Estate Developer/ President of Liberty University 2007-2020.  Jesus First!,29411348,789,23121,941,False
932,paulgvallas,"Candidate for Mayor of Chicago.
lifelong public servant obsessed with problem solving.",7654572930,285,4569,199,False
933,myspacetom,"Former 1st friend! Surfing, travel/photos, golf, architecture-design, DogDad 🐶 AI, SpaceX & CRISPR Investr🚀🌝 Life Extension 👶🏻👨🏻‍🦳",15005072,800,665946,725,True
934,drjerrybrown,A high school dropout from Bronx NY raised by Mom 7 kids on welfare Greatest Achievement I Got My GED in the Army 1980 my high school diploma in 2019!,1662790229,1028,2098,7520,False
935,iamdannyblue,"💫💫💫 Mentalist, mindreader, +happy!
Based on planet 🌍
Booking: info@danny-blue.com",52397699,1713,14571,1150,False
936,markherringva,"Attorney General of the Commonwealth of Virginia fighting for justice, equality and opportunity for all Virginians. ⚖️",45161601547,224,6398,198,True
937,billdaley,"Please call me Bill! Writer, dad to @wild_child_08, two cats & a puppy, grandfather to Bryson and Leilani, resident of Wells, Vermont.",14507288,28610,3225,3995,True
938,cheastie,NYS Assembly Speaker Carl E. Heastie • Representing the 83rd District• 📍North East Bronx•,1418983542,653,4239,516,True
939,christinelagarde,President of the @europeancentralbank. I manage this account with my team.,7960965724,699,147122,31,True
940,terryvanduyn,Democratic Whip representing District 49. Advocate for education and NPR lover.,2207480693,5,65,23,False
941,crystalquade,"MO House Democratic Leader, MO House of Representatives- HD132
Democratic candidate for MO Governor",1922108962,1176,3545,1114,False
942,romanprezioso,"WV State Senator representing the 13th Senatorial District, encompassing Marion & Monongalia Counties.",2951978611,77,70,300,False
943,sarahhuckabeesanders,Christian. Wife. Mom. Arkansan. Former White House press secretary. Governor of Arkansas.,174176805,1187,800064,3757,True
944,stevedaines,"Cindy's husband of 37 years, father, grandpa, lifelong sportsman, U.S. Senator for Montana.",371125857,717,13667,165,True
945,cleanvirginia,"Building an ethical and vibrant democracy powered by clean, affordable energy.",8512184286,248,755,50,False
946,mitchellreports,"NBC News Chief Foreign Affairs Correspondent | Anchor, Andrea Mitchell Reports, weekdays 12pET on MSNBC",292745441,56,12380,62,True
947,kenblackwell,,2946658,156,327,388,False
948,profgalloway,"NYU professor, serial entrepreneur 
#PivotPodcast #ProfGPod
📚 ADRIFT out now ✨  
NYT bestsellers The Four, Post Corona
📘 #algebraofhappiness",35297610726,1079,309999,101,True
949,clairecmc,"Lots of former stuff, including Senator from Missouri. Professional grandmother.Politcal analyst NBC/MSNBC",182810702,194,31255,8,True
950,senatorbraun,U.S. Senator from Indiana,14028300248,541,7645,141,True
951,worldnewsdailyreport,Funny News Articles to give you a Laugh! World News Daily Report assumes all responsibility for the fictional nature of its news articles,7108615253,228,275,53,False
952,environmental_defense_fund,"EDF delivers bold game-changing climate solutions to build a vital Earth, for everyone.",433185626,2580,43391,88,True
953,tartecosmetics,Shop good-for-you beauty✨🤍👇,189334003,12719,10046734,607,True
954,repgilcisneros,"🏛 Representative for CA-39
⚓️ Navy Veteran
⚽️ Soccer Dad
🇺🇸 Member of Congress",10032858568,434,4463,206,True
955,dave_brat,Proudly representing the people of Virginia's Seventh District.,1410063254,1013,669,154,False
956,michaelschirling,,2301580027,0,33,6,False
957,senatorjontester,Third-generation farmer. Proud grandfather. Former school teacher. Flattop icon. Trumpet player. Montana’s senior Senator.,436847048,1705,15977,555,True
958,lindacoleman____,"💕👩🏻‍🤝‍👨🏼@linny7 
💪🏾@xpressfitnessandlifestyle",1459712207,2454,2258,3215,False
959,theculbersons,"Focusing on family wellness. Simple clean lifestyle. Eat whole foods, avoid processed sugars/seed oils, remove toxins in the home, daily movement.",41843147109,1084,282444,2,False
960,thericardolara,📍NY | PR,903527036,18,4301,1947,False
961,christineforvermont,Candidate for Vermont Governor,7347771614,83,1318,532,False
962,repbalderson,Proudly serving Ohio’s 12th Congressional District,36003993324,117,1363,300,True
963,erikpaulsenmn,,1373832900,857,1455,321,True
964,missourigop,Official Instagram account of the Missouri Republican Party.,576515596,570,1636,498,False
965,manningofficial,"Shock horror - I'm on instagram! 
See the world through myopic Manning's eyes 👀",8370102591,574,12009,33,False
966,repmarcmolinaro,Proudly representing New York's 19th Congressional District,57168447826,508,855,25,True
967,george.holding,@staticdress,625909306,32,3320,904,False
968,leahvukmir,Senior Vice President of State Affairs at @TeamTaxpayer,4968228568,821,2471,1276,True
969,andrewgillum,Father of 3. Husband to R. Jai. Proud Floridian.,146113487,1293,303562,178,True
970,future45tradesignals,"#Professional #Forex #Trader
Helping traders build wealth
🔥Traders Chat room 
🔥90% accurate signals
🔥Help you develop trade plans
👇 Free access 👇",5926638023,576,13221,2277,False
971,mainedems,Official Instagram account of the Maine Democratic Party. Share photos with #mainedems,939117274,664,2880,223,True
972,friendsforbatch,"Family law attorney, social worker, child welfare advocate, small business owner, wife, & mother. NC Senator representing Southern Wake County",7306471444,76,1884,33,False
973,chaz_beasley,"Former state representative. If a picture’s worth 1,000 words, then my IG is an essay.",35763049,280,2082,2392,False
974,jeffsessionsal,Official campaign account for Friends of Sessions Senate Committee,24067867172,34,798,0,False
975,mimiwaltersca,"Former Orange County U.S. Congresswoman & State Legislator. Wife to David, and mom to 4 great kids.",2986247208,134,3085,1884,True
976,_floridastrong,"Bringing the Florida Strength community together! 🍊🐊🦈
To be featured tag us and use #FLstrong #FloridaStrong",4977714462,668,2135,1056,False
977,pauldavidsguitar,"Guitarist, creator, musician, producer, teacher.
3.3M subs on YouTube! 
For more info! 👇",4860912406,612,435936,434,True
978,scottwagner1978,,2376270381,2,82,95,False
979,jdwooten,Former Air Force Officer and Aerospace Engineer turned Intellectual Property Attorney.,1705364192,245,576,414,False
980,showtimealexstrenger,Podcast Host. Rapper. Culture Jammer. I Troll City Council Meetings. @unjectedofficial ambassador.,308933502,1837,3717,2255,False
981,washdems,We are the Washington State Democratic Party!,22516465,1011,3169,468,True
982,teamtaxpayer,"NTU is “Voice of America’s Taxpayers"" working to achieve favorable policy outcomes on Capitol Hill and in the states for over 50 years.",501421232,201,596,84,False
983,stephxcarter,@gillian.maxwell.carter. Marshall Amps. EX - Lyoness. @gallowsofficial. @ghostridersmusic.,4627041,3122,6327,1897,False
984,joshuafeuerstein,"👊🏼A Voice for the Voiceless.
👊🏼Follow our Daily News @americafirstnewsofficial",19268187,2296,259440,5212,True
985,joedonnellyfit2.0,"Deleted at 660,000
My adjectives are Rich/ Intelligent/ Handsome 😎
$3.1 Billion global sales
Former NFL
Paradise Valley, AZ
50+ mag covers",46917552813,24,402270,1592,False
986,withhonors,"Blazing Through Your Biz Blocks 💭
For Disruptive Visionaries 📈 
Grow in 2023 💌 DM us EXPAND
Powered by Female Storytellers 💡
👇 GET RESOURCED",31484660925,384,64775,520,False
987,reptommalinowski,The official Instagram account of Congressman Tom Malinowski. Proudly serving the constituents of New Jersey's 7th Congressional District.,11333647258,931,4572,232,True
988,govrauner,Challenges met. Challenges ahead. Governor Rauner highlights his administration’s accomplishments and looks ahead. Follow the link for more!,1552176492,966,2052,8,True
989,reneehoagensonforcongress,Renee Kennedy Hoagenson is a Democratic candidate running for U.S Congress in the 4th Congressional District in Missouri. #bluewave #theresistance,5738718497,185,1625,6396,False
990,lanny_lancaster,,11604864709,2,68,66,False
991,repantoniodelgado,Proud to represent the people of New York’s 19th Congressional District.,10116532207,1174,7282,57,True
992,_brendan.kelly_,Malvern Prep,1923724390,6,1534,1000,False
993,dcolephelps,⚖️ 🦍👑,317304967,537,3585,1819,False
994,rpadgett2020,Retired law Enforcement Officer after 35 years of service. Now more than ever the truth  has to be told and issues real. I intend to do just that.,8133816072,43,934,1419,False
995,senatorbillnelson,14th NASA Administrator,4704582874,306,4822,7,False
996,therealstevewest,"Livin' such a sweet life, oh, what a neat life.  Danger Danger dude.",3299836514,90,2310,451,False
997,officialdannyboyoconnor,"Executive Director of The Outsiders House Museum, Tulsa, Oklahoma. Founding member of House of Pain ☘️ La Coka Nostra.",651081,6835,31720,2021,True
998,mikebishop.tv,"Filmmaker & Photographer  
Drone & Aerial Filming
Based in Los Angles, California",8166404,79,32646,2915,False
999,coryestewart,"🤖 DM me “Test Bot” to have a convo with our Ai Sales Bot
📈DM me “Growth” to scale with Virtual Assistants we train for you 
…..More VA info below👇🏻",923125445,191,68985,871,True
1000,rep.leonard.lance,The Official Instagram Account for Congressman Leonard Lance. Proudly Representing New Jersey's 7th Congressional District.,2025439141,58,1879,210,True
1001,kyrstensinema,"Arizona’s senior Senator. Also: teaching @arizonastateuniversity, ultramarathoner, Boston qualifier, & IRONMAN. Team Betty Designs",883642944,1087,42595,499,True
1002,bredesenforsenate,"Entrepreneur—latest @clearloop, former TN governor, Nashville mayor, CEO. Fan of thoughtful leadership & practical solutions Endorsed by @taylorswift",6645675806,234,4698,2,True
1003,agkwameraoul,"Illinois Attorney General
Protecting the public interest of the state and its people",50126437463,378,1269,122,False
1004,_erikaharold,Exec. Director @2civility. Attorney. Miss America 2003. Illini/Harvard Law. Champion for #Professionalism + #Civility + #DiversityinLaw.,3887977477,733,2614,770,True
1005,astro_jeffw,"NASA Astronaut, US Army Colonel, experimental test pilot, husband, father, grandfather. Bringing the International Space Station to you.",2579813604,417,85366,2,True
1006,senjeffmerkley,"As Oregon's United States Senator, I fight every day for working families.",501463589,1064,37278,377,True
1007,aftabpureval,"70th Mayor of Cincinnati. Ohio born and raised. Whitney’s husband, dad to Bodhi and Rami, funnier in person, taller than you think. He/him",2216430539,192,17888,1657,True
1008,joescarborough,,13865617,605,114686,202,True
1009,afscme,"America’s communities never rest. That’s why people who work in public service never quit. American Federation of State, County & Municipal Employees",18242304,1007,18369,381,True
1010,stronger,"Connect your mind, activate your body.
Show us your #strongermoments
New arrivals: Available now ⤵",682811063,3690,770099,488,False
1011,justmaiko,"sh•luv : self love
artist through movement
@theshluvfamily @shluvclothing 
biz: business@shluv.com",21444637,1031,2339346,545,True
1012,fightfortheftr,Digital rights are human rights. We channel internet outrage into political power & fight for a future where technology liberates- not oppresses - us.,1694690959,1001,7890,342,False
1013,repkatieporter,"Minivan-driving single mom, law professor, consumer advocate 🚙 👩🏻‍🏫
Usually carrying a whiteboard, always bringing the receipts 🧾",10027211195,317,237475,12,True
1014,d_kohl,*FlyFishing. MOPAR. Country Life. Boots. Bonfires. Outdoors. Chillin. Stay up way too late. Cooking is life. Good people. 4WD or Street TRUCKS*,40818687,1112,642,1651,False
1015,saundramcdowell,"God; Family; Country 
❤️ @_jonathanmcdowell_  
Wife | mother of 5 | USAF ICU medic veteran | attorney @mcdowellleadership 
#MOreforMissouri",218375286,2768,3790,3517,False
1016,mikemccabe,"professional bootlegger
@playdude__
@secondbestpetshop
@secondhandtapes_",6748687,684,4186,1065,False
1017,realdailywire,Official account of The Daily Wire.,5358555751,5175,2266223,77,True
1018,gwc2003,,44170815308,0,1,0,False
1019,realanncoulter,Author of 13 New York Times bestsellers.,6625771653,44,13924,136,True
1020,silver.surfer19,"ING. Mantenimiento Industrial
Agüitas 🇲🇽
25 años ♏
Operador (Airsoft🔫🔥) en @bad_company_bc
🔱🔥ONLY GOOD VIBES TODAY🔥🔱
🅐🅛🅦🅐🅨🅢 ▕⃝⃤ ⚯ ͛",5884666036,42,411,1214,False
1021,unitehere,Hospitality workers building an empowered working class. We believe that One Job Should Be Enough✊🏽✊🏿✊🏻,230464225,1147,9567,1296,True
1022,bradschimel,"I'm running for re-election to be a tough, fair and indpendent voice for Wisconsin families.",1368872402,96,256,66,False
1023,defundpoliceaz,"Fund communities, not the police.
Amplifying abolition, mutual aid, reproductive rights, tenants’ rights, immigrants’ rights, and more.",37082209168,67,1954,98,False
